Timestamp, TargetID, X_mm,Y_mm, IsConfirmedHuman
31705,0,320,337,465,0,1

31793,0,321,331,461,0,1

31883,0,323,329,461,0,1

31972,0,328,342,474,0,1

32060,0,313,369,484,0,1

32149,0,313,373,487,0,1

32239,0,318,372,489,0,1

32328,0,326,362,487,0,1

32416,0,326,357,483,0,1

32505,0,324,353,479,0,1

32594,0,319,345,470,0,1

32684,0,315,320,449,0,1

32772,0,314,293,429,0,1

32862,0,332,307,452,0,1

32951,0,341,317,466,0,1

33040,0,347,320,472,0,1

33129,0,353,324,479,0,1

33218,0,352,329,482,-8,1

33307,0,360,312,476,0,1

33396,0,360,305,472,0,1

33484,0,354,316,475,0,1

33574,0,336,325,467,0,1

33663,0,311,319,446,0,1

33752,0,285,325,432,0,1

33841,0,278,320,424,0,1

33930,0,283,324,430,0,1

34019,0,311,321,447,0,1

34108,0,351,325,478,0,1

34197,0,391,331,512,0,1

34286,0,404,333,524,0,1

34375,0,402,332,521,0,1

34463,0,400,306,504,0,1

34553,0,393,297,493,0,1

34642,0,385,301,489,0,1

34731,0,386,317,499,0,1

34820,0,356,312,473,0,1

34908,0,367,318,486,0,1

34997,0,335,326,467,0,1

35087,0,325,317,454,0,1

35176,0,297,317,434,0,1

35265,0,191,306,361,0,1

35354,0,92,311,324,0,1

35443,0,108,310,328,0,1

35532,0,123,322,345,0,1

35621,0,176,318,363,0,1

35710,0,212,312,377,8,1

35799,0,213,294,363,-24,1

35888,0,208,299,364,-24,1

35977,0,200,303,363,-24,1

36066,0,191,306,361,-24,1

36155,0,181,308,357,-24,1

36244,0,166,292,336,0,1

36333,0,158,291,331,0,1

36422,0,162,304,344,0,1

36511,0,175,337,380,0,1

36600,0,207,345,402,0,1

36689,0,271,343,437,0,1

36778,0,328,331,466,-32,1

36867,0,404,322,517,0,1

36956,0,488,322,585,0,1

37045,0,572,321,656,0,1

37133,0,572,321,656,0,1

37222,0,572,321,656,0,1

37311,0,572,321,656,0,1

37400,0,572,321,656,0,1

37489,0,572,321,656,0,1

37578,0,572,321,656,0,1

37667,0,572,321,656,0,1

37756,0,572,321,656,0,1

37845,0,572,321,656,0,1

37934,0,572,321,656,0,1

38024,0,572,321,656,0,1

38113,0,572,321,656,0,1

38202,0,572,321,656,0,1

38290,0,572,321,656,0,1

38379,0,572,321,656,0,1

38469,0,572,321,656,0,1

38558,0,572,321,656,0,1

38647,0,572,321,656,0,1

38736,0,572,321,656,0,1

38825,0,572,321,656,0,1

38914,0,572,321,656,0,1

38914,1,62,231,239,24,0

39003,0,572,321,656,0,1

39003,1,71,236,246,8,0

39092,0,83,239,253,16,0

39181,0,95,242,260,16,0

39269,0,110,245,269,16,0

39359,0,151,249,291,8,0

39448,0,188,254,316,8,0

39537,0,214,265,341,8,0

39626,0,236,270,359,0,0

39715,0,248,273,369,0,0

39804,0,260,275,378,0,1

39893,0,269,280,388,0,1

39982,0,274,292,400,0,1

40071,0,284,296,410,0,1

40160,0,289,300,417,0,1

40249,0,219,306,376,0,1

40338,0,81,320,330,0,1

40427,0,-53,362,366,0,1

40515,0,-171,397,432,0,1

40605,0,-273,434,513,0,1

40694,0,-199,466,507,0,1

40783,0,-146,481,503,0,1

40872,0,-88,503,511,0,1

40961,0,-28,559,560,0,1

41050,0,27,588,589,0,1

41139,0,83,555,561,0,1

41228,0,109,526,537,0,1

41317,0,135,501,519,0,1

41406,0,166,486,514,0,1

41495,0,222,462,513,0,1

41584,0,289,419,509,0,1

41673,0,344,405,531,0,1

41762,0,267,404,484,0,1

41851,0,198,382,430,0,1

41940,0,245,362,437,0,1

42029,0,291,360,463,0,1

42118,0,222,414,470,0,1

42207,0,122,467,483,0,1

42296,0,9,490,490,0,1

42385,0,-91,498,506,0,1

42474,0,-20,491,491,0,1

42562,0,49,494,496,0,1

42652,0,123,465,481,0,1

42741,0,172,448,480,0,1

42830,0,209,440,487,0,1

42919,0,225,453,506,0,1

43008,0,201,501,540,0,1

43097,0,197,511,548,0,1

43185,0,193,522,557,0,1

43275,0,185,538,569,0,1

43364,0,178,553,581,0,1

43453,0,196,541,575,0,1

43542,0,202,535,572,0,1

43630,0,219,519,563,0,1

43720,0,175,552,579,0,1

43809,0,116,580,591,0,1

43898,0,-12,610,610,0,1

43987,0,-127,624,637,0,1

44076,0,-212,646,680,0,1

44164,0,-264,681,730,0,1

44254,0,-307,724,786,0,1

44343,0,-345,750,826,0,1

44432,0,-385,755,847,0,1

44521,0,-403,755,856,0,1

44610,0,-419,753,862,0,1

44699,0,-441,755,874,0,1

